Model,Language,Reported,ArchiveSource,ArchiveMetric,ArchiveValue,Status,Notes
GPT-4o-mini few-shot,PT,0.813,hpc_pull/humor_temp/other_lang/results/llm_gpt4o_new_langs.csv,test_f1_macro,0.813084,TRACEABLE_TEST,Rounds to the reported cell.
GPT-4o-mini few-shot,ZH,0.839,hpc_pull/humor_temp/other_lang/results/llm_gpt4o_new_langs.csv,test_f1_macro,0.838578,TRACEABLE_TEST,Rounds to the reported cell.
Qwen zero-shot,EN,0.770,results/llm_all_comb.csv; hpc_pull/.../comb/results/llm_all_comb.csv,test_f1_macro / cv_mean,0.699956 test; 0.767123 nearby CV,UNRESOLVED,No archive metric supports 0.770 as held-out test.
Qwen zero-shot,ES,0.541,hpc_pull/humor_temp/results/llm_qwen_llama_cv_and_test.csv,test_f1_macro,0.540718,TRACEABLE_TEST,Rounds to the reported cell.
Qwen zero-shot,HI-EN,0.544,hpc_pull/humor_temp/other_lang/results/llm_all_models_new_langs.csv,test_f1_macro,0.544894,APPROXIMATE_TEST_MISMATCH,"Ordinary rounding gives 0.545, not 0.544."
Qwen zero-shot,PT,0.809,hpc_pull/humor_temp/other_lang/results/llm_all_models_new_langs.csv,test_f1_macro,0.808928,TRACEABLE_TEST,Rounds to the reported cell.
Qwen zero-shot,ZH,0.776,hpc_pull/humor_temp/other_lang/results/llm_all_models_new_langs.csv,test_f1_macro,0.754879,UNRESOLVED,No held-out value supporting 0.776 was found.
Qwen few-shot,EN,0.716,results/llm_all_comb.csv; hpc_pull/.../comb/results/llm_all_comb.csv,test_f1_macro,0.716000,TRACEABLE_TEST,Matches the reported cell; source data/split provenance is incomplete.
Qwen few-shot,ES,0.476,hpc_pull/humor_temp/results/llm_qwen_llama_cv_and_test.csv,test_f1_macro,0.475667,TRACEABLE_TEST,Rounds to the reported cell.
Qwen few-shot,HI-EN,0.482,hpc_pull/humor_temp/other_lang/results/llm_all_models_new_langs.csv,test_f1_macro,0.482170,TRACEABLE_TEST,Rounds to the reported cell.
Qwen few-shot,PT,0.761,hpc_pull/humor_temp/other_lang/results/llm_all_models_new_langs.csv,test_f1_macro,0.760544,TRACEABLE_TEST,Rounds to the reported cell.
Qwen few-shot,ZH,0.811,hpc_pull/humor_temp/other_lang/results/llm_all_models_new_langs.csv,test_f1_macro,0.811433,TRACEABLE_TEST,Rounds to the reported cell.
